transform,level,test_samples,top1_accuracy,top5_accuracy,macro_f1
blur,1,12630,0.9091844813935075,0.9938242280285036,0.8487138036884528
blur,2,12630,0.9033254156769597,0.9935075217735551,0.8445785284033751
blur,3,12630,0.8949326999208235,0.9910530482977039,0.833865982933255
illumination,1,12630,0.9091053048297704,0.9933491686460808,0.8440986190889146
illumination,2,12630,0.9041171813143309,0.9915281076801267,0.8433956322236773
illumination,3,12630,0.8819477434679335,0.9844813935075217,0.8175790285490269
perspective,1,12630,0.9163103721298496,0.9959619952494062,0.8593480987022732
perspective,2,12630,0.8908155186064924,0.9918448139350752,0.829694720329788
perspective,3,12630,0.7942992874109264,0.9676167854315123,0.6740760807426383
