transform,level,test_samples,top1_accuracy,top5_accuracy,macro_f1
blur,1,12630,0.9699920823436263,0.9922406967537609,0.9580837366395547
blur,2,12630,0.9644497228820269,0.9901029295328583,0.9483443766832066
blur,3,12630,0.947347585114806,0.9866983372921615,0.9240416998162315
illumination,1,12630,0.9701504354711006,0.9927157561361837,0.9593876150857518
illumination,2,12630,0.9669833729216152,0.9923990498812352,0.9529724359332122
illumination,3,12630,0.9577197149643706,0.9897862232779098,0.9399768003490561
perspective,1,12630,0.9592240696753761,0.9874109263657957,0.9417790252951963
perspective,2,12630,0.9040380047505938,0.9748218527315915,0.834931811892775
perspective,3,12630,0.7802850356294537,0.9310372129849565,0.6671755941651479
