transform,level,test_samples,top1_accuracy,top5_accuracy,macro_f1
blur,1,12630,0.6219319081551861,0.9375296912114014,0.611675046044249
blur,2,12630,0.6122723673792557,0.9309580364212193,0.6074356993775943
blur,3,12630,0.5703879651623119,0.9144893111638955,0.57206485154932
illumination,1,12630,0.5974663499604117,0.9365795724465559,0.5928861627751802
illumination,2,12630,0.5984956452889945,0.9360253365003959,0.5936250487042813
illumination,3,12630,0.5992874109263658,0.9364212193190815,0.5938730866610391
perspective,1,12630,0.448535233570863,0.9003167062549485,0.473672618184482
perspective,2,12630,0.21187648456057007,0.7553444180522565,0.2239220255191875
perspective,3,12630,0.09683293745051465,0.5756136183689627,0.08344181352229348
