transform,level,test_samples,top1_accuracy,top5_accuracy,macro_f1
blur,1,12630,0.9691211401425178,0.9939825811559778,0.9572223639445535
blur,2,12630,0.9640538400633413,0.991765637371338,0.9490598884969624
blur,3,12630,0.9462391132224861,0.9881235154394299,0.9246786267772639
illumination,1,12630,0.9695170229612035,0.9942992874109263,0.9583280775255385
illumination,2,12630,0.9652414885193983,0.9935866983372922,0.9512311566509647
illumination,3,12630,0.9562945368171022,0.9913697545526524,0.9379862669474652
perspective,1,12630,0.9598574821852731,0.9918448139350752,0.943824815869965
perspective,2,12630,0.9060965954077593,0.9794932699920823,0.837745920823944
perspective,3,12630,0.780443388756928,0.9440221694378464,0.6646955541145446
