transform,level,test_samples,top1_accuracy,top5_accuracy,macro_f1
blur,1,12630,0.6617577197149643,0.9031670625494853,0.6637687842099266
blur,2,12630,0.565083135391924,0.8527315914489311,0.5551049533275662
blur,3,12630,0.4239113222486144,0.7468725257323832,0.42168933754093896
illumination,1,12630,0.6350752177355503,0.9176563737133808,0.639351035802211
illumination,2,12630,0.6315914489311164,0.9146476642913698,0.6375679779168291
illumination,3,12630,0.6191607284243864,0.9114014251781473,0.6236825574258846
perspective,1,12630,0.6256532066508314,0.9066508313539192,0.6174049790166417
perspective,2,12630,0.47624703087885983,0.8294536817102138,0.45649635217526363
perspective,3,12630,0.28669833729216154,0.6826603325415677,0.2598954151011243
