transform,level,test_samples,top1_accuracy,top5_accuracy,macro_f1
blur,1,12630,0.9691211401425178,0.9939825811559778,0.9572585635446987
blur,2,12630,0.9641330166270784,0.991765637371338,0.9491088416802027
blur,3,12630,0.9463974663499604,0.988202692003167,0.9247853384476898
illumination,1,12630,0.9695170229612035,0.9943784639746635,0.9583182238239992
illumination,2,12630,0.9652414885193983,0.9936658749010293,0.9512311566509647
illumination,3,12630,0.9563737133808393,0.9913697545526524,0.9381953449054213
perspective,1,12630,0.9598574821852731,0.991765637371338,0.943824815869965
perspective,2,12630,0.9059382422802851,0.9794932699920823,0.8374115125852634
perspective,3,12630,0.780443388756928,0.9441013460015836,0.6646541475543275
