model,display_name,model_type,model_size,model_size_bytes,total_parameters,trainable_parameters,non_trainable_parameters,support_vectors,n_features,n_estimators,total_nodes,average_nodes_per_tree,max_nodes_per_tree,test_samples,top1_accuracy,top5_accuracy,macro_f1,robustness_mean_top1,robustness_mean_top5,robustness_mean_macro_f1,latency_mean_ms,latency_median_ms,latency_p95_ms,throughput_images_per_second
custom_cnn,Custom CNN,deep_learning,2.81 MB,2948880,238315,238315,0,,,,,,,12630,0.9696753760886777,0.9946159936658749,0.9577565282573153,0.9352071786751124,0.9853875252925134,0.9027525190168002,19.88211518015305,19.231086999752733,24.22791199933272,50.29645945307828
mobilenet_v3_small_gtsrb,MobileNetV3-Small,deep_learning,9.56 MB,10019508,1018523,667595,350928,,,,,,,12630,0.9078384798099762,0.9948535233570863,0.8414063643771434,0.8893375560833994,0.9892407847277206,0.8217056105179333,132.5699191100466,130.85396150017914,146.5468520000286,7.543189335205806
custom_cnn_float16_tflite,Custom CNN (Float16 TFLite),tflite,474.93 KB,486328,,,,,,,,,,12630,0.9696753760886777,0.9946951702296121,0.9577565282573153,0.9352247734670536,0.9854139174804257,0.9027542161180592,3.664287699830311,3.1923070000630105,4.997338000976015,272.9043355537582
custom_cnn_int8_tflite,Custom CNN (Int8 TFLite),tflite,254.25 KB,260352,,,,,,,,,,12630,0.9694378463974663,0.9930324623911322,0.9592357104525977,0.9344506026216242,0.9819125538840504,0.9029466219332064,4.89574442999583,4.729035497803125,5.793784999696072,204.25902828445885
svm,SVM,classical_ml,312.53 KB,320029,,,,,900,,,,,12630,0.6323040380047505,0.9171813143309581,0.6298748183148313,0.5472420163631564,0.8516934987243776,0.5416623769462651,11.598225200032175,11.561339502804913,11.837840000225697,86.22008822498341
random_forest,Random Forest,classical_ml,19.94 MB,20906733,,,,,,100,397120,3971.2,4153,12630,0.5956452889944577,0.9369754552652415,0.5910859225159042,0.4841207002727192,0.8692531010820796,0.48362181692640305,24.903427040262613,24.511536499630893,26.361543998064008,40.15511593578065
